index,status,onset,cert_step,period,dx,dy,visited,bbox_w,bbox_h,onset_exact
327,HIGHWAY,1463,1683,104,2,2,324,26,23,1
328,HIGHWAY,5146,5371,104,2,-2,863,31,42,1
329,HIGHWAY,2801,3112,104,2,2,519,30,29,1
330,HIGHWAY,5691,5907,104,2,-2,859,38,39,1
331,HIGHWAY,10524,10839,104,-2,-2,1387,44,59,1
332,HIGHWAY,543,854,104,-2,-2,228,20,19,1
333,HIGHWAY,543,854,104,-2,-2,228,20,19,1
334,HIGHWAY,4022,4254,104,-2,-2,709,37,39,1
335,HIGHWAY,631,943,104,-2,-2,230,22,22,1
336,HIGHWAY,408,616,104,-2,2,156,16,16,1
337,HIGHWAY,282,492,104,-2,2,132,15,15,1
338,HIGHWAY,223,534,104,-2,-2,143,17,17,1
339,HIGHWAY,470,781,104,2,-2,184,19,19,1
340,HIGHWAY,740,1052,104,-2,2,254,23,23,1
341,HIGHWAY,508,718,104,2,2,187,18,19,1
342,HIGHWAY,367,575,104,-2,-2,164,17,16,1
343,HIGHWAY,684,900,104,-2,-2,227,20,22,1
344,HIGHWAY,2417,2728,104,2,2,471,30,28,1
345,HIGHWAY,8321,8634,104,-2,2,1234,51,44,1
346,HIGHWAY,5758,5974,104,2,2,925,46,38,1
347,HIGHWAY,8439,8654,104,-2,-2,1067,51,36,1
348,HIGHWAY,555,866,104,-2,-2,234,20,19,1
349,HIGHWAY,551,862,104,-2,-2,232,20,19,1
350,HIGHWAY,551,862,104,-2,-2,232,20,19,1
351,HIGHWAY,547,858,104,-2,-2,230,20,19,1
352,HIGHWAY,2490,2698,104,2,-2,524,25,33,1
353,HIGHWAY,626,937,104,2,2,224,20,23,1
354,HIGHWAY,2392,2611,104,2,-2,506,27,27,1
355,HIGHWAY,6248,6474,104,2,-2,990,44,43,1
356,HIGHWAY,2793,3104,104,2,2,519,30,29,1
357,HIGHWAY,2937,3248,104,2,2,576,34,28,1
358,HIGHWAY,33094,33402,104,-2,2,2920,69,69,1
359,HIGHWAY,6607,6833,104,-2,2,866,37,40,1
360,HIGHWAY,6661,6877,104,2,2,1002,41,43,1
361,HIGHWAY,3158,3410,104,2,-2,514,29,33,1
362,HIGHWAY,756,1068,104,2,-2,249,22,22,1
363,HIGHWAY,15295,15503,104,2,2,1824,65,45,1
364,HIGHWAY,2071,2382,104,-2,-2,486,29,30,1
365,HIGHWAY,43264,43575,104,2,2,4010,70,92,1
366,HIGHWAY,5533,5846,104,-2,2,900,31,45,1
367,HIGHWAY,10299,10610,104,-2,-2,1428,36,66,1
368,HIGHWAY,5471,5687,104,2,-2,869,37,36,1
369,HIGHWAY,6882,7098,104,2,2,1008,42,34,1
370,HIGHWAY,1949,2260,104,2,2,434,31,27,1
371,HIGHWAY,1593,1904,104,2,2,363,28,24,1
372,HIGHWAY,2946,3257,104,-2,2,575,34,35,1
373,HIGHWAY,1939,2189,104,-2,-2,414,31,22,1
374,HIGHWAY,8431,8646,104,-2,-2,1067,51,36,1
375,HIGHWAY,476,787,104,2,2,200,20,20,1
376,HIGHWAY,1136,1447,104,-2,2,318,20,28,1
377,HIGHWAY,1421,1732,104,-2,-2,356,24,28,1
378,HIGHWAY,3985,4210,104,-2,-2,609,34,28,1
379,HIGHWAY,2494,2702,104,2,-2,524,25,33,1
380,HIGHWAY,2071,2382,104,-2,-2,486,29,30,1
381,HIGHWAY,2473,2784,104,2,2,495,32,28,1
382,HIGHWAY,5142,5367,104,2,-2,863,31,42,1
383,HIGHWAY,2797,3108,104,2,2,519,30,29,1
384,HIGHWAY,276,492,104,-2,-2,121,14,16,1
385,HIGHWAY,3249,3560,104,-2,-2,671,39,32,1
386,HIGHWAY,2634,2851,104,2,2,471,29,27,1
